TOA,TOB,FROMA,FROMB,DESCRIPTION
Academic West,Main Entrance,Rec Center Bus Stop ,N/A,"If you are leaving from the bus stop, continue straight. The sidewalk will slope down before you cross Bill McDonald Parkway. Once crossed, start towards your right. Once the path narrows, stay towards your right to align yourself where the grass ledge meets the brick and continue straight. Orient yourself so that parking lot 19G is on your left and Academic West is on your right. Take the second right so that you are now facing Academic West. The push button for automatic door and doors will be ahead."
Academic West,Back Entrance,Rec Center Bus Stop ,N/A,"If you are leaving from the bus stop, continue straight. The sidewalk will slope down before you cross Bill McDonald Parkway. Once crossed, start towards your right. Once the path narrows, stay towards your right to align yourself where the grass ledge meets the brick and continue straight. Orient yourself so that parking lot 19G is on your left and Academic West is on your right. Once the space widens, take a sharp right around the patch of garden. Orient yourself so that the Communication Lawn is now on your left and Academic West is on your right. Start towards your right, around the patch of garden. Once the garden ends, start towards your right as you walk beneath an area covered by a sky bridge. Stay to the right of the path, aligning yourself with the building. The push button for automatic door and doors will be located on your right."
Academic West ,Side Entrance,Rec Center Bus Stop ,N/A,"If you are leaving from the bus stop, continue straight. The sidewalk will slope down before you cross Bill McDonald Parkway. Once crossed, start towards your right. Once the path narrows, stay towards your right to align yourself where the grass ledge meets the brick and continue straight. Take the first right and continue straight. The push button for automatic door and doors will be located ahead."
Edens North,Main Entrance,Parking Lot 7G,N/A,"If you are leaving from lot 7G, orient yourself so that lot 5G is on your right along with Higginson Hall and Edens North is on your left. Align yourself on the left side of the path where the grass meets the sidewalk."
Parking Lot 7G,N/A,Edens North,N/A,"If you are leaving from Edens North, the path will narrow, so align yourself with the ledge where the grass meets the asphalt. The ledge will end and you have reached lot 7G."
Viking Union Bus Stop,N/A,Edens North,Main Entrance,"If you are leaving from Edens North, orient yourself so that Edens North is on your left and Higginson Hall is on your right. Follow the ledge where the grass meets the pavement and continue as the surface changes to brick. Follow the gradual slope down to the narrow sidewalk. Be cautious as you enter the crosswalk that crosses over High Street. Then take a direct left and orient yourself so that the Viking Union is on your right and High Street is on your left. The bus stop is located by the main entrance."
Higginson Hall Bus Stop,N/A,Edens North,N/A,"If you are leaving from Edens North, orient yourself so that Edens North is on your left and Higginson Hall is on your right. Follow the ledge where the grass meets the pavement and continue as the surface changes to brick. Take a direct right and continue down the sidewalk, aligning yourself where the grass ledge meets the sidewalk. High Street is on your left and this ledge will end at the front stairs of Higginson Hall along with the bus stop."
Edends North ,Main Entrance,Viking Union Bus Stop,N/A,"If you are leaving from the bus stop, orient yourself so that the main entrance to the Viking Union is directly behind you and High Street is in front of you. Follow the sidewalk as it dips down for the crosswalk. Once the surface changes from asphalt to the sidewalk, take an immediate left. Align yourself on the right side where the grass ledge meets the sidewalk. Continue until the ledge ends and follow the path up the gradual brick path. Continue for 30 meters after the brick surface changes to asphalt. The push button for automatic door and doors will be on your right."
Edends North ,Main Entrance,Higginson Hall Bus Stop,N/A,"If you are leaving from the bus stop, continue straight, aligning yourself where the grass meets the sidewalk. Once the ledge ends, turn left and keep left as the surface changes from sidewalk to brick. Staying along the grass ledge, continue for 30 meters after the brick surface changes to asphalt. The push button for automatic door and doors will be on your right."
Parking Lot 10G,N/A,Old Main,Side Entrance,"If you are approaching from the side entrance, align yourself with the exterior wall of Old Main (to your left) and head forward until you reach the corner of where two walls meet. Reorient yourself by squaring off with old main and the new wall to your right.  Head forward following the wall until it ends and then align yourself between old main (left) and Fraser Hall (right). Head forward to reach lot 10G. "
Parking Lot 8G,N/A,Old Main,Back Entrance,"If you are approaching from the Back Entrance, square off with the entrance. Head to the right and follow the building's wall until you reach the corner. Turn to the left to continue following the sidewalk to reach lot 8G. "
Old Main,Side Entrance,Parking Lot 10G,N/A,"If you are approaching from lot 10G, align yourself between the walls of Fraser Hall (left side) and Old Main (right side). Using Old Mains exterior brick walls as a guide, follow the wall to reach the accessible side entrance of Old Main which will be to your right.  "
Old Main,Back Entrance,Parking Lot 8G,N/A,"If you are approaching from lot 8G, square off alongside Old Main and face the parking lot (ground should be sidewalk). Turn right and follow the sidewalk until you reach the exterior wall of Old Main. Align yourself with Old Mains exterior wall to the left of you and grass should be to the right of you. Follow the wall to reach the back entrance which will be to your left."
Old Main ,Side Entrance,Viking Union Bus Stop,N/A,"If you are approaching from WTA Bus Stop located in front of the V.U., square off with the Viking Union so that you are facing High Street.  Head to the right following the sidewalk until it becomes a corner (paved road). The crossing will be to your left. Cross the road and head straight, passing by Wilson Library (right side) and Old Main lawn (left side). The sidewalk will expand into 4 ways but continue straight to reach the rose garden and India Statue. Go around and straight pass the statue to find a narrow brick pathway. Head straight and pass between a set of staircases (right) and new garden patch (left). Soon after the garden patch will be Old Mains pillars, the entrance will be between the third and fourth pillar. "
Viking Union Bus Stop,N/A,Old Main,Side Entrance,"If you are approaching from the Side Entrance, square off with the entrance. Head straight and stop once you pass the pillars of old main. Turn right and head straight, the brick pathway will narrow and continue between a set of stairs (left side) and old mains pillars (right side). Head straight where you will come across a rose garden and India statue. Straight ahead will be three pathways. Continue with the middle pathway and head straight where you will pass by Wilson library (left) and old mains lawn (right). The brick pathway will lead you to a crossing for High Street. Cross the paved road and turn left following the sidewalk to reach a roofless WTA Bus Stop located in front of the V.U. . Seating is available at this station. "
Viking Union Bus Stop,N/A,Eden Hall,Side Entrance,"If you are approaching from the South Entrance, square off with the entrance behind you, turn left and follow the pathway. The brick pathway will turn into a T, turn right and head forward. Soon after, take a left. Straight ahead will be a brick walkway which will lead you to an intersection of paths and crossing for Hight street. Cross the street and turn left. Follow the sidewalk to head towards the roofless WTA Bus Stop located in front of the V.U. . Seating is available at this station."
Viking Union Bus Stop,N/A,Eden Hall ,Main Entrance,"If you are approaching from the North Entrance, square off with the entrance behind you, turn left and then right to go around the overhang. Head towards the left brick walkway which will lead you to an intersection of paths and crossing for Hight street. Cross the street and turn left. Follow the sidewalk to head towards the roofless WTA Bus Stop located in front of the V.U. . Seating is available at this station. "
Eden Hall,Side Entrance,Viking Union Bus Stop,N/A,"If you are approaching from the WTA Bus Stop located in front of the V.U., square off with the Viking Union so that you are facing High Street. Turn to the right and follow the sidewalk. Once you reach the Curve/Diagonal statue (to your left), the crossing for high street will be to the right. Cross the road to reach a brick 4-way intersection. Choose the second left most pathway, head straight and the path will split into left and right, go right, and right again, then left and straight ahead to your left will be Eden Halls South entrance. "
Eden Hall ,Main Entrance,Viking Union Bus Stop,N/A,"If you are approaching from the WTA Bus Stop located in front of the V.U., square off with the Viking Union so that you are facing High Street. Turn to the right and follow the sidewalk. Once you reach the Curve/Diagonal statue (to your left), the crossing for high street will be to the right. Cross the road to reach a brick 4-way intersection. Choose the second left most pathway to reach Eden Halls North entrance.  "
Viking Union Bus Stop,N/A,Performing Arts Center ,Main Entrance,"If you are exiting from the North Entrance of the Performing Arts Center, you will be squared off so that the building entrance is behind you and are faced to faced with a statue (For Handel). Walk forward and slightly to the right to find a down sloping smooth pathway with metal railing. Walk forward using the railings as a guide. When the railing ends, turn 90 degrees left and head straight for 40 meters, a warning tile should be to the right of you indicating a crossing for High Street. Cross high street when it is safe and when you reach a second warning tile, turn 90 degrees to the left, continue forward to reach another warning tile. Cross High Street again here, and when you reach a second warning tactile, turn 90 degrees right. Continue ahead for 50 meters to reach a roofless bus stop pole in front of the Viking Union. "
Haggard Hall Bus Stop,N/A,Performing Arts Center ,Side Entrance,"If you are exiting from the North Entrance of the Performing Arts Center, you will be squared off so that the building entrance is behind you and are faced to faced with a statue (For Handel). Walk forward and slightly to the right to find a down sloping smooth pathway with metal railing. Walk forward using the railings as a guide. When the railing ends, slightly angle yourself to the right and head forward to find a warning tactile. Cross High street here and when you reach a second tactile, turn 90 degrees right and Continue forward for about 30 meters to reach a roofed bus stop with seating in front of Haggard Hall. "
Performing Arts Center ,Main Entrance,Viking Union Bus Stop,N/A,"If you are exiting a bus, you will naturally be squared off with High Street behind you and the viking union ahead of you. Turn 90 degrees to the left and head straight for 50 meters to reach a down sloping sidewalk and a warning tactile indicating an uncontrolled cross walk. Cross when it is safe and when you reach a second warning tactile, turn 90 degrees to the right and head forward for about 60 meters to reach another down sloping divet in the sidewalk and a warning tactile. Cross High Street here again and when you reach a second tactile, slightly angle to the right and walk forwards to reach an up sloping path with railing on each side. Follow the railing and when it ends, stop, turn 90 degrees to the left and head forawrds to reach the Performing Art Center."
Performing Arts Center ,Main Entrance,Haggard Hall Bus Stop,N/A,"If you are exiting a bus, you will naturally be squared off with "
Performing Arts Center ,Side Entrance,Viking Union Bus Stop,N/A,"If you are exiting a bus, you will naturally be squared off with High Street behind you and the viking union ahead of you. Turn 90 degrees to the left and head straight for 50 meters to reach a down sloping sidewalk and a warning tactile indicating an uncontrolled cross walk. Cross when it is safe and when you reach a second warning tactile, turn 90 degrees to the right and head forward for about 60 meters to reach another down sloping divet in the sidewalk and a warning tactile. Cross High Street here and when you reach a second warning tactile turn 90 degrees to the left. Continue walking forward for about 50 meters, "
Performing Arts Center ,Side Entrance,Haggard Hall Bus Stop,N/A,"If you are exiting a bus, you will naturally be squared off with "
Parking Lot 11G/C,N/A,Performing Arts Center ,Main Entrance,"If you are exiting from the North Entrance of the Performing Arts Center, you will be squared off so that the building entrance is behind you and are faced to faced with a statue (For Handel). Walk forward and slightly to the right to find a down sloping smooth pathway with metal railing. When the railing ends, the pathway becomes a two way intersection. Turn 90 degrees to the right and head straight until the crosswalk meets pavement indicating a driveway. Do not cross the driveway, turn right to continue on the sidewalk. When the sidewalk ends, turn left to face Lot 11 G/C"
Parking Lot 11G/C,N/A,Performing Arts Center ,Side Entrance,"If you are exiting from the South Entrance of the Performing Arts Center, you will be squared off so that the building is behind you. Slightly angle to the left to follow a pathway with a brick wall to the right of you. When the brick wall ends, the pathway becomes a two way intersection. Align yourself so that the end (thin side) of the brick wall is to your right. Turn 90 degrees right and head straight until the crosswalk meets pavement indicating a driveway. Do not cross the driveway, turn right to continue on the sidewalk. When the sidewalk ends, turn left to face Lot11  G/C."
Parking Lot 25G,N/A,Performing Art Center ,Side Entrance,"If you are exiting from the West Entrance of the Performing Arts Center, follow the down sloping ramp and when the pathway take a sharp right turn, head straight to reach lot 25G. "
Viking Union Bus Stop,N/A,Canada House,Main Entrance,"If you are approaching from the button accessible door, follow the down sloping walkway which will lead you to lot 11 G/C. Square off so that the walkway you just took is behind you, and cautiously, head straight passing by parking lot 11 G/C to your right and the PAC  building to your left. You should reach a sidewalk curb to the left of you, follow the curb until you reach a down sloping driveway or the corner of the sidewalk. Move onto the sidewalk and find the warning tactile on the ground. Do not cross here, but orientate yourself as if you would cross the street. Turn 90 degrees to the left and continue forward on the sidewalk for 80 meters to reach a second warning tactile. Cross High street when it is safe and when you reach a second warning tile, turn 90 degrees to the left, continue forward to reach another warning tile. Cross High Street again here, and when you reach a second warning tactile, turn 90 degrees right. Continue ahead for 50 meters to reach a roofless bus stop pole in front of the Viking Union. "
Haggard Hall Bus Stop,N/A,Canada House,Main Entrance,"If you are approaching from the button accessible door, follow the down sloping walkway which will lead you to lot 11 G/C. Square off so that the walkway you just took is behind you, and cautiously, head straight passing by parking lot 11 G/C to your right and the PAC  building to your left. You should reach a sidewalk curb to the left of you, follow the curb until you reach a down sloping driveway or the corner of the sidewalk. Move onto the sidewalk and find the warning tactile on the ground. Orientate yourself here to cross High street and cross the street when it is safe to do so. When you reach a second warning tactile, turn 90 degrees to the left and continue ahead for 50 meters to reach a a roofed bus stop with seating in front of Haggard Hall."
Parking Lot G/C,N/A,Canada House,Main Entrance,"If you are approaching from the button accessible door, follow the down sloping pathway. When the walls enclosing the pathway end, you will be in front of lot 11 G/C."
Viking Union Bus Stop,N/A,High Street Hall ,First Entrance,"If you are approaching from the east entrance, head straight following the walkway. When the walkway expands, turn left and head straight for ____ meters. You will be approaching High street but do not cross. Turn left and head straight, crossing a driveway, onto a sidewalk, passing a second driveway, and back onto a sidewalk. Once on the sidewalk, continue ahead for __ meters to reach the roofless bus stop.
"
Haggard Hall Bus Stop,N/A,High Street Hall ,First Entrance,"If you are approaching from the east entrance, head straight following the walkway. When the walkway expands, turn left and head straight for ____ meters. You will be approaching High street but do not cross. Turn left and head straight, crossing a driveway, onto a sidewalk, passing a second driveway, and back onto a sidewalk. Once on the sidewalk, turn right to cross Highstreet.Once at the sidewalk turn left and cross a paved driveway, and head straight again noting that the sidewalk will have grass to the right of it. When the grass ends, you have reached the roofed bus stop"
Viking Union Bus Stop,N/A,High Street Hall ,Second Entrance,"If you are approaching from the west entrance, head straight following the walkway. When the walkway expands, continue straight for ____ meters. You will be approaching High street but do not cross. Turn left and head straight, crossing a driveway, onto a sidewalk, passing a second driveway, and back onto a sidewalk. Once on the sidewalk, continue ahead for __ meters to reach the roofless bus stop.
"
Haggard Hall Bus Stop,N/A,High Street Hall ,Second Entrance,"If you are approaching from the west entrance,  head straight following the walkway. When the walkway expands, continue straight for ____ meters. You will be approaching High street but do not cross. Turn left and head straight, crossing a driveway, onto a sidewalk, passing a second driveway, and back onto a sidewalk. Once on the sidewalk, turn right to cross Highstreet.Once at the sidewalk turn left and cross a paved driveway, and head straight again noting that the sidewalk will have grass to the right of it. When the grass ends, you have reached the roofed bus stop"
High Street Hall ,First Entrance,Viking Union Bus Stop,N/A,Not Available
High Street Hall ,First Entrance,Haggard Hall Bus Stop,N/A,Not Available
High Street Hall ,Second Entrance,Viking Union Bus Stop,N/A,Not Available
High Street Hall ,Second Entrance,Haggard Hall Bus Stop,N/A,Not Available
Canada House,Main Entrance,Viking Union Bus Stop,N/A,Not Available
Canada House,Main Entrance,Haggard Hall Bus Stop,N/A,Not Available
Bus Stop (Fairhaven),N/A,Interdisciplinary Science Building,Main Entrance,"If you are exiting the building, you will naturally be squared off with the door directly behind you and the biology building will be straight ahead of you. Angle yourself slightly to the right and head straight, avoiding a small grass patch, follow the down sloping and curving brick pathway. Do not take any sharp turns as the path will curve left then right and then left again to come to an uncontrolled crosswalk. Cross when safe and head straight for 0.15 miles or 238 meters, passing by the outdoor track and Wade King Student rec center to reach Bill Mcdonald and College way intersection. Since you will be facing the intersection of Bill Mcdonald and College way, turn left to find the path sloping down and to a warning tactile indicating the crosswalk and the crosswalk button will be to the right of you. Cross when safe and when you reach a second warning tactile continue straight ahead to find a roof covered bus stop to the left of you."
Bus Stop (Downtown),N/A,Interdisciplinary Science Building,Main Entrance,"If you are exiting the building, you will naturally be squared off with the door directly behind you and the biology building will be straight ahead of you. Angle yourself slightly to the right and head straight, avoiding a small grass patch, follow the down sloping and curving brick pathway. Do not take any sharp turns as the path will curve left then right and then left again to come to an uncontrolled crosswalk. Cross when safe and head straight for 0.15 miles or 238 meters, passing by the outdoor track and Wade King Student rec center to reach Bill Mcdonald and College way intersection. Since you will be facing the intersection of Bill Mcdonald and College way, turn right to find the path sloping down and to a warning tactile indicating the crosswalk. The crosswalk button will be to the right of you. Cross when safe and when you reach a second warning tactile, continue straight ahead to find a roof covered bus stop to the right of you."
Interdisciplinary Science Building,Main Entrance,Bus Stop (Fairhaven),N/A,"If you are exiting the bus, you should come face to face with a roofed bus stop and Bill Mcdonald Way behind you. Turn 90 degrees to the left and head straight towards the intersection of Bill Mcdonald and College way. You will reach the intersection when you feel the sidewalk slopes down and a warning tile. Cross straight ahead when safe and when you reach a second warning tile, head forward angling to the left to reach a pathway between two grass patches. Once there, continue straight on the pathway for 0.15 miles or 238 meters, passing by Wade King Center and the outdoor track. You will reach an uncontrolled intersection (no indicator), cross when safe, and continue on a new brick pathway walking to the left of the pathway to follow the edge of the pathway. Follow the edge of the pathway which should curve left, right, and left again. The final curve should be around the Interdisciplinary Science Building (ISB) sign. You should reach the metal doors of the ISB, the button for the accessible door will be to the right on a metal thick square pole."
Interdisciplinary Science Building,Main Entrance,Bus Stop (Downtown),N/A,"If you are exiting the bus, you should come face to face with a roofed bus stop. Turn 90 degrees to the right and head straight towards the intersection of Bill Mcdonald and College way. You will reach the intersection when you feel the sidewalk slopes down and a warning tile. Cross straight ahead when safe and continue straight for 0.15 miles or 238 meters, passing by Wade King Center and the outdoor track. You will reach an uncontrolled intersection (no indicator), cross when safe, and continue on a new brick pathway walking to the left of the pathway to follow the edge of the pathway. Follow the edge of the pathway which should curve left, right, and left again. The final curve should be around the Interdisciplinary Science Building (ISB) sign. You should reach the metal doors of the ISB, the button for the accessible door will be to the right on a metal thick square pole. "
Parking Lot 19G,N/A,Interdisciplinary Science Building,Main Entrance,"If you are exiting the building, you will naturally be squared off with the door directly behind you and the biology building will be ahead of you. A grass patch will be to the right of you, walk around it to continue on the downsloping curving pathway. Walk on the farthest left side of the sidewalk to find a sharp left turning pathway, which will be between a hedge and some plants. Continue straight on the new pathway, so that a line of hedges will be to your right. In about 40 meters, there will be a walkway to your right and between two hedges. Walk through these hedges and you will face Lot 19G.  "
Interdisciplinary Science Building,Main Entrance,Parking Lot 19G,N/A,"If you are exiting the parking lot and are on the sidewalk. Square off so that the hedges are behind you and you are facing the parking lot. Turn 90 to the right and head straight following the pathway which will lead you between two hedges. Passing these hedges, you will be facing Parks Hall. Turn 90 degrees to the left and head straight to reach metal railings and follow these rails until they end. You will be face to face with a T intersection, turn 90 degrees right and head forward while angling slightly to the right. Reaching a raised dirt patch, follow the curve of it to reach the metal doors of the Interdisciplinary Science Building. the button for the accessible door will be to the right on a metal thick square pole."
Bus Stop (Fairhaven),N/A,Biology Building,Main Entrance,"If you are exiting the building, you will naturally be squared off with the door directly behind you and straight ahead will be a boulder. Head to the left of the boulder for a ramp or to the right of it for stairs. Once around the boulder (or passing a second boulder for the ramp), take a 90 degree turn to the right and head straight, passing by a pile of boulders on your left and stairs on your right and heading straight towards parks hall. While facing parks hall, turn 90 degrees right and head straight as the pathway will turn into a down sloping pathway. Do not take any sharp turns as the path will curve left then right and then left again to come to an uncontrolled crosswalk. Cross when safe and head straight for 0.15 miles or 238 meters, passing by the outdoor track and Wade King Student rec center to reach Bill Mcdonald and College way intersection. Since you will be facing the intersection of Bill Mcdonald and College way, turn left to find the path sloping down and a warning tactile indicating the crosswal. The crosswalk button will be to the right of you. Cross when safe and when you reach a second warning tactile, continue straight ahead to find a roof covered bus stop to the left of you."
Bus Stop (Downtown),N/A,Biology Building,Main Entrance,"If you are exiting the building, you will naturally be squared off with the door directly behind you and straight ahead will be a boulder. Head to the left of the boulder for a ramp or to the right of it for stairs. Once around the boulder (or passing a second boulder for the ramp), take a 90 degree turn to the right and head straight, passing by a pile of boulders on your left and stairs on your right and heading straight towards parks hall. While facing parks hall, turn 90 degrees right and head straight as the pathway will turn into a down sloping pathway. Do not take any sharp turns as the path will curve left then right and then left again to come to an uncontrolled crosswalk. Cross when safe and head straight for 0.15 miles or 238 meters, passing by the outdoor track and Wade King Student rec center to reach Bill Mcdonald and College way intersection. Since you will be facing the intersection of Bill Mcdonald and College way, turn right to find the path sloping down and a warning tactile indicating the crosswal. The crosswalk button will be to the right of you. Cross when safe and when your reach a second warning tactile, continue straight ahead to find a roof covered bus stop to the right of you."
Parking Lot 19G,N/A,Biology Building,Main Entrance,"If you are exiting the building, you will naturally be squared off with the door directly behind you and straight ahead will be a boulder. Head to the left of the boulder for a ramp or to the right of it for stairs. Once around the boulder (or passing a second boulder for the ramp), take a 90 degree turn to the right and head straight, passing by a pile of boulders on your left and stairs on your right and heading straight towards parks hall. While facing parks hall, turn 90 degrees right and head straight as the pathway will turn into a down sloping pathway. A grass patch will be to the left of you, walk around it to continue on the downsloping curving pathway. Move closer to the left side of the pathway to find a sharp left turning pathway, which will be between a hedge and some plants. Continue straight on the new pathway, so that a line of hedges will be to your right. In about 40 meters, there will be a walkway to your right and between two hedges. Walk through these hedges and you will face Lot 19G."
Biology Building,Main Entrance,Bus Stop (Fairhaven),N/A,"If you are exiting the bus, you should come face to face with a roofed bus stop and Bill Mcdonald Way behind you. Turn 90 degrees to the left and head straight towards the intersection of Bill Mcdonald and College way. You will reach the intersection when you feel the sidewalk slopes down and a warning tile.  Cross straight ahead when safe and when you reach a second warning tile, head forward angling to the left to reach a pathway between two grass patches. Continue straight for 0.15 miles or 238 meters, passing by Wade King Center and the outdoor track. You will reach an uncontrolled intersection (no indicator), cross when safe, and continue on a new brick pathway walking to the right of the pathway to follow the edge of the pathway. Follow the edge of the pathway which should curve left and bring you to a two way interaction. Do not take the right turning pathway, walk past it to continue on the edge passing trash cans to your right and bike racks to your left. You should reach another up sloping pathway with rails dividing the pathway and stairs. Using the rails as a guide, continue forward. When the rails end, angle slightly to the left and head forward following the curb of a three step staircase. Continue following the curb, passing the first boulder on the staircase, and stopping at the second boulder. Turn 90 degrees to the left to walk around the boulder and reach the ramp leading to the Biology building entrance."
Biology Building,Main Entrance,Bus Stop (Downtown),N/A,"If you are exiting the bus, you should come face to face with a roofed bus stop. Turn 90 degrees to the right and head straight towards the intersection of Bill Mcdonald and College way. You will reach the intersection when you feel the sidewalk slopes down and a warning tile. Cross straight ahead when safe and continue straight for 0.15 miles or 238 meters, passing by Wade King Center and the outdoor track. You will reach an uncontrolled intersection (no indicator), cross when safe, and continue on a new brick pathway walking to the right of the pathway to follow the edge of the pathway. Follow the edge of the pathway which should curve left and bring you to a two way interaction. Do not take the right turning pathway, walk past it to continue on the edge passing trash cans to your right and bike racks to your left. You should reach another up sloping pathway with rails dividing the pathway and stairs. Using the rails as a guide, continue forward. When the rails end, angle slightly to the left and head forward following the curb of a three step staircase. Continue following the curb, passing the first boulder on the staircase, and stopping at the second boulder. Turn 90 degrees to the left to walk around the boulder and reach the ramp leading to the Biology building entrance."
Biology Building,Main Entrance,Parking Lot 19G,N/A,"If you are exiting the parking lot and are on the sidewalk. Square off so that the hedges are behind you and you are facing the parking lot. Turn 90 to the right and head straight following the pathway which will lead you between two hedges. Passing these hedges, you will be facing Parks Hall. Turn 90 degrees to the left and head straight to reach metal railings and follow these rails until they end. You will be face to face with a T intersection, turn 90 degrees right to follow the brick up sloping pathway. You will be passing bike racks to your left and should reach another up sloping ramp with rails dividing the pathway and stairs. Using the rails as a guide, continue forward. When the rails end, angle slightly to the left and head forward following the curb of a three step staircase. Continue following the curb, passing the first boulder on the staircase, and stopping at the second boulder. Turn 90 degrees to the left to walk around the boulder and reach the ramp leading to the Biology building entrance."
Bus Stop (Fairhaven),N/A,Parks Hall ,Back Entrance,"If you are exiting the building, you will naturally be squared off with the door directly behind you. Turn 90 degrees right and head forward until you reach metal railings. Follow the metal railings until the end to reach a T intersection on the pathway. Turn 90 degrees to the left and continue forward on a slightly left curving pathway. When the pathway curves to the right, it will bring you to an uncontrolled crosswalk. Cross when safe and head straight for 0.15 miles or 238 meters, passing by the outdoor track and Wade King Student rec center to reach Bill Mcdonald and College way intersection. Since you will be facing the intersection of Bill Mcdonald and College way, turn left to find the path sloping down indicating and a warning tactile indicating the crosswalk. The crosswalk button will be to the right of you. Cross when safe and when you cross a second warning tactile continue straight ahead to find a roof covered bus stop to the left of you."
Bus Stop (Downtown),N/A,Parks Hall ,Back Entrance,"If you are exiting the building, you will naturally be squared off with the door directly behind you. Turn 90 degrees right and head forward until you reach metal railings. Follow the metal railings until the end to reach a T intersection on the pathway. Turn 90 degrees to the left and continue forward on a slightly left curving pathway. When the pathway curves to the right, it will bring you to an uncontrolled crosswalk. Cross when safe and head straight for 0.15 miles or 238 meters, passing by the outdoor track and Wade King Student rec center to reach Bill Mcdonald and College way intersection. Since you will be facing the intersection of Bill Mcdonald and College way, turn right to find the path sloping down and a warning tactile indicating the crosswalk. The crosswalk button will be to the right of you. Cross when safe and when you cross a second warning tactile continue straight ahead to find a roof covered bus stop to the right of you."
Parking Lot 19G,N/A,Parks Hall ,Back Entrance,"If you are exiting the building, you will naturally be squared off with the door directly behind you. Head straight forward to reach a wall of hedges. Turn 90 degrees left and follow the hedge until an opening appears. The opening will be between two hedges, walk through it to reach parking lot 19G"
Bus Stop (Fairhaven),N/A,Parks Hall ,Main Entrance,"If you are exiting the buillding, you will naturally be squared off the the door directly behind you and the biology building ahead of you.  Using the wal to the right of you, walk forward until you reach the corner of the wall. Turn 90 degrees to the right and head straight towards a metal railing. Using the rail as a guide, follow it until it ends. Turn 90 degrees to the left to follow the curving brick pathway. Continue forward angling to the left as the pathway will curve as well. When the pathway curves to the right, it will bring you to an uncontrolled crosswalk. Cross when safe and head straight for 0.15 miles or 238 meters, passing by the outdoor track and Wade King Student rec center to reach Bill Mcdonald and College way intersection. Since you will be facing the intersection of Bill Mcdonald and College way, turn left to find the path sloping down indicating and a warning tactile indicating the crosswalk. The crosswalk button will be to the right of you. Cross when safe and when you cross a second warning tactile continue straight ahead to find a roof covered bus stop to the left of you. "
Bus Stop (Downtown),N/A,Parks Hall ,Main Entrance,"If you are exiting the buillding, you will naturally be squared off the the door directly behind you and the biology building ahead of you.  Using the wall to the right of you, walk forward until you reach the corner of the wall. Turn 90 degrees to the right and head straight towards a metal railing. Using the rail as a guide, follow it until it ends. Turn 90 degrees to the left to follow the curving brick pathway. Continue forward angling to the left as the pathway will curve as well. When the pathway curves to the right, it will bring you to an uncontrolled crosswalk. Cross when safe and head straight for 0.15 miles or 238 meters, passing by the outdoor track and Wade King Student rec center to reach Bill Mcdonald and College way intersection.  Since you will be facing the intersection of Bill Mcdonald and College way, turn right to find the path sloping down and a warning tactile indicating the crosswalk. The crosswalk button will be to the right of you. Cross when safe and when you cross a second warning tactile continue straight ahead to find a roof covered bus stop to the right of you."
Parking Lot 19G,N/A,Parks Hall ,Main Entrance,"If you are exiting the buillding, you will naturally be squared off the the door directly behind you and the biology building ahead of you.  Using the wall to the right of you, walk forward until you reach the corner of the wall. Turn 90 degrees to the left and head straight as the pathway will turn into a down sloping pathway. A grass patch will be to the left of you, walk around it to continue on the downsloping curving pathway. Move closer to the left side of the pathway to find a sharp left turning pathway, which will be between a hedge and some plants. Continue straight on the new pathway, so that a line of hedges will be to your right. In about 40 meters, there will be a walkway to your right and between two hedges. Walk through these hedges and you will face Lot 19G."
Parks Hall ,Main Entrance,Bus Stop (Fairhaven),N/A,"If you are exiting the bus, you should come face to face with a roofed bus stop and Bill Mcdonald Way behind you. Turn 90 degrees to the left and head straight towards the intersection of Bill Mcdonald and College way. You will reach the intersection when you feel the sidewalk slopes down and a warning tile.  Cross straight ahead when safe and when you reach a second warning tile, head forward angling to the left to reach a pathway between two grass patches. Continue straight for 0.15 miles or 238 meters, passing by Wade King Center and the outdoor track. You will reach an uncontrolled intersection (no indicator), cross when safe, and continue on a new brick pathway walking to the right of the pathway to follow the edge of the pathway. Follow the edge of the pathway which should curve left and bring you to a two way interaction. Do not take the right turning pathway, walk past it to continue on the edge passing trash cans to your right and bike racks to your left. You will reach another up sloping pathway with rails dividing the pathway and stairs. Using the rails as a guide, continue forward. When the rails end, continue straight ahead for about 10 meters. Turn 90 degrees to the right and Park Hall entrance will be straight ahead"
Parks Hall ,Main Entrance,Bus Stop (Downtown),N/A,"If you are exiting the bus, you should come face to face with a roofed bus stop. Turn 90 degrees to the right and head straight towards the intersection of Bill Mcdonald and College way. You will reach the intersection when you feel the sidewalk slopes down and a warning tile. Cross straight ahead when safe and continue straight for 0.15 miles or 238 meters, passing by Wade King Center and the outdoor track. You will reach an uncontrolled intersection (no indicator), cross when safe, and continue on a new brick pathway walking to the right of the pathway to follow the edge of the pathway. Follow the edge of the pathway which should curve left and bring you to a two way interaction. Do not take the right turning pathway, walk past it to continue on the edge passing trash cans to your right and bike racks to your left.You will reach another up sloping pathway with rails dividing the pathway and stairs. Using the rails as a guide, continue forward. When the rails end, continue straight ahead for about 10 meters. Turn 90 degrees to the right and Park Hall entrance will be straight ahead"
